Flight No.;Launch site;Payload;Payload mass;Orbit;Customer;Launch outcome;Version Booster;Booster landing;Date;Time
110;CCSFS,SLC-40;Starlink 20 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1058.6;Success(drone ship);11 March 202108:;13:29
111;KSC,LC-39A;Starlink 21 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1051.9;Success(drone ship);14 March 2021;10:01
112;CCSFS,SLC-40;Starlink 22 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1060.6;Success(drone ship);24 March 2021;08:28
113;CCSFS,SLC-40;Starlink 23 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1058.7;Success(drone ship);7 April 2021;16:34
114;KSC,LC-39A;Crew-2(Crew Dragon C206.2 Endeavour ♺);~13,000kg;LEO (ISS);NASA (CTS);Success;F9 B5 ♺B1061.2;Success(drone ship);23 April 202;19:49
115;CCSFS,SLC-40;Starlink 24 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1060.7;Success(drone ship);29 April 2021;03:44
116;KSC,LC-39A;Starlink 25 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1049.9;Success(drone ship);4 May 2021;19:01
117;CCSFS,SLC-40;Starlink 27 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1051.10;Success(drone ship);9 May 2021;06:42
118;KSC,LC-39A;Starlink 26 v1.0 (52 Satellites) Capella-6 &Tyvak-0130;~14,000kg;LEO;SpaceX Capella Space and Tyvak;Success;F9 B5 ♺B1058.8;Success(drone ship);15 May 2021;22:56
119;CCSFS,SLC-40;Starlink 28 v1.0 (60 Satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1063.2;Success(drone ship);26 May 2021;18:59
120;KSC,LC-39A;SpaceX CRS-22(Dragon C209.1);3,328kg;LEO (ISS);NASA (CRS);Success;F9 B5 B1067.1;Success(drone ship);3 June 2021;17:29
121;CCSFS,SLC-40;SXM-8;7,000kg;GTO;Sirius XM;Success;F9 B5 ♺ B1061.3;Success(drone ship);6 June 2021;04:26
